x,y,nr
95.12905729980238,150.79703327558036,1
26.81458260417864,119.14577669553634,2
6.601555092026466,86.85654977586708,3
0.07721551635967216,56.551157795455744,4
0,54.958768533304465,5
0.7159217252099026,38.30492228429369,6
13.003335742226255,1.4564593950729083,7
13.848386281065931,0,8
185.98776484038763,1.4210854715202004e-14,9
199.8290586827327,46.69330703091013,10
199.28611802438746,62.136394486970765,11
196.24528322260164,77.76450175415127,12
145.9786323396487,139.6722655333913,13
95.12905729980238,150.79703327558036,1
