x,y,nr
156.0764290910743,155.65948432443645,1
153.49441978220804,157.48330135048707,2
88.6347062424761,174.54420591856106,3
41.84441462324868,158.25160482173027,4
0,50.98902808163952,5
9.409239108528546,26.83441325815943,6
30.812371145570033,0.0288158614998615,7
30.844934670834228,0,8
163.3520842097608,0,9
178.299710487776,16.53895710184606,10
196.1364919260272,61.065471016336495,11
192.9206284884025,103.50585282026728,12
191.95866589400103,106.55031561460032,13
156.0764290910743,155.65948432443645,1
