x,y,nr
198.11765812232065,54.700250700001135,1
194.79617463853643,104.26180163215236,2
158.6554993014112,153.8546425586718,3
138.44962340278983,165.2358512037192,4
81.96260486554766,171.39881002237658,5
5.140327242311347,105.22516046353736,6
3.8600105078213964,101.18482329825198,7
0,79.21323367299546,8
31.466381472513792,0,9
168.14767641014814,7.105427357601002e-15,10
174.2246573898505,6.205479814748941,11
185.49701084044514,21.455509697514096,12
189.2120525392781,28.207136205090812,13
198.11765812232065,54.700250700001135,1
