x,y,R
7.649999999999999,0.7501886779019049,8.5
22.95,0.7501886779019031,8.5
15.299999999999997,14.00037735580381,8.5
38.24999999999999,0.7501886779018889,8.5
30.599999999999994,14.0003773558038,8.5
53.55,0.7501886779018747,8.5
45.9,14.000377355803806,8.5
38.24999999999999,27.25056603370571,8.5
68.84999999999998,0.7501886779018321,8.5
61.19999999999999,14.000377355803764,8.5
53.54999999999999,27.250566033705695,8.5
84.14999999999999,0.7501886779018605,8.5
76.49999999999999,14.000377355803764,8.5
68.85,27.25056603370568,8.5
99.44999999999999,0.7501886779018321,8.5
91.8,14.000377355803778,8.5
84.14999999999999,27.25056603370568,8.5
114.74999999999999,0.7501886779018321,8.5
107.1,14.00037735580375,8.5
99.44999999999999,27.250566033705667,8.5
130.04999999999998,0.7501886779018037,8.5
122.39999999999998,14.000377355803721,8.5
114.75,27.250566033705667,8.5
145.34999999999997,0.7501886779017468,8.5
137.69999999999996,14.000377355803664,8.5
130.04999999999995,27.25056603370558,8.5
160.64999999999998,0.7501886779018037,8.5
152.99999999999997,14.000377355803693,8.5
145.34999999999997,27.25056603370558,8.5
